F 00INDEX.TXT;1                     	00index.txt
F DISKQ2.;1                         	diskq2
F FTAPE16.TGZ;1                     	ftape16.tgz
F I1_1_16.TGZ;1                     	i1_1_16.tgz
F IDEKERN.LOG;1                     	idekern.log
F IDEKERN.TGZ;1                     	idekern.tgz
F MITSUMI.LOG;1                     	mitsumi.log
F MITSUMI.TGZ;1                     	mitsumi.tgz
F SCSIKERN.LOG;1                    	scsikern.log
F SCSIKERN.TGZ;1                    	scsikern.tgz
F _DESC.TXT;1                       	.desc.txt
